"nixtamaliz*"  (All Fields) AND "corn" OR "maize"  (All Fields)
Timespan:2010-2023. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Valorization of Nixtamalization wastewaters (Nejayote) by integrated membrane process","Castro-Munoz, Roberto; Yanez-Fernandez, Jorge","","","","FOOD AND BIOPRODUCTS PROCESSING","JUL 2015","2015","95","","","","","7","18","","10.1016/j.fbp.2015.03.006","","","58","6.44","0","0","0","0","0","1","3","7","9","12","14","5","7","0"
"Phase II-Inducing, Polyphenols Content and Antioxidant Capacity of Corn (Zea mays L.) from Phenotypes of White, Blue, Red and Purple Colors Processed into Masa and Tortillas","Lopez-Martinez, Leticia X.; Parkin, Kirk L.; Garcia, Hugo S.","","","","PLANT FOODS FOR HUMAN NUTRITION","MAR 2011","2011","66","1","","","","41","47","","10.1007/s11130-011-0210-z","","","56","4.31","0","0","5","7","4","5","5","7","6","6","4","3","4","0"
"Human health implications from co-exposure to aflatoxins and fumonisins in maize-based foods in Latin America: Guatemala as a case study","Torres, O.; Matute, J.; Gelineau-van Waes, J.; Maddox, J. R.; Gregory, S. G.; Ashley-Koch, A. E.; Showker, J. L.; Voss, K. A.; Riley, R. T.","","","","WORLD MYCOTOXIN JOURNAL","2015","2015","8","2","","","SI","143","159","","10.3920/WMJ2014.1736","","","53","5.89","0","0","0","0","0","3","6","6","10","7","8","8","5","0"
"Phytochemicals and Antioxidant Capacity of Tortillas Obtained after Lime-Cooking Extrusion Process of Whole Pigmented Mexican Maize","Aguayo-Rojas, Jesus; Mora-Rochin, Saraid; Cuevas-Rodriguez, Edith O.; Serna-Saldivar, Sergio O.; Gutierrez-Uribe, Janet A.; Reyes-Moreno, Cuauhtemoc; Milan-Carrillo, Jorge","","","","PLANT FOODS FOR HUMAN NUTRITION","JUN 2012","2012","67","2","","","","178","185","","10.1007/s11130-012-0288-y","","","49","4.08","0","0","1","3","5","3","9","4","6","4","6","5","3","0"
"IMPORTANCE OF MEXICAN MAIZE LANDRACES IN THE NATIONAL DIET. AN ESSENTIAL REVIEW","Fernandez Suarez, Rocio; Morales Chavez, Luis A.; Galvez Mariscal, Amanda","","","","REVISTA FITOTECNIA MEXICANA","OCT 2013","2013","36","","","3A","","275","283","","","","","46","4.18","0","0","0","0","2","2","0","10","6","5","6","7","8","0"
"Development of extruded snacks using taro (Colocasia esculenta) and nixtamalized maize (Zea mays) flour blends","Rodriguez-Miranda, J.; Ruiz-Lopez, I. I.; Herman-Lara, E.; Martinez-Sanchez, C. E.; Delgado-Licon, E.; Vivar-Vera, M. A.","","","","LWT-FOOD SCIENCE AND TECHNOLOGY","APR 2011","2011","44","3","","","SI","673","680","","10.1016/j.lwt.2010.06.036","","","46","3.54","0","1","1","3","2","3","4","3","6","6","4","7","6","0"
"Physical and Chemical Methods for Mycotoxin Decontamination in Maize","Grenier, Bertrand; Loureiro-Bracarense, Ana-Paula; Leslie, John F.; Oswald, Isabelle P.","","","Leslie, JF; Logrieco, AF","MYCOTOXIN REDUCTION IN GRAIN CHAINS","2014","2014","","","","","","116","129","","","","","41","4.10","0","0","0","0","2","0","2","6","1","5","11","7","7","0"
"Effect of Microwave Heating during Alkaline-Cooking of Aflatoxin Contaminated Maize","Perez-Flores, G. C.; Moreno-Martinez, E.; Mendez-Albores, A.","","","","JOURNAL OF FOOD SCIENCE","MAR 2011","2011","76","2","","","","T48","T52","","10.1111/j.1750-3841.2010.01980.x","","","40","3.08","0","1","1","3","4","2","5","5","3","4","4","7","1","0"
"Mining maize diversity and improving its nutritional aspects within agro-food systems","Palacios-Rojas, Natalia; McCulley, Laura; Kaeppler, Mikayla; Titcomb, Tyler J.; Gunaratna, Nilupa S.; Lopez-Ridaura, Santiago; Tanumihardjo, Sherry A.","","","","COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY","JUL 2020","2020","19","4","","","","1809","1834","","10.1111/1541-4337.12552","","","39","9.75","0","0","0","0","0","0","0","0","0","0","2","15","21","1"
"Production of maize tortillas and cookies from nixtamalized flour enriched with anthocyanins, flavonoids and saponins extracted from black bean (Phaseolus vulgaris) seed coats","Chavez-Santoscoy, Rocio A.; Gutierrez-Uribe, Janet A.; Serna-Saldivar, Sergio O.; Perez-Carrillo, Esther","","","","FOOD CHEMISTRY","FEB 1 2016","2016","192","","","","","90","97","","10.1016/j.foodchem.2015.06.113","","","39","4.88","0","0","0","0","0","0","5","7","3","7","7","6","4","0"
"Study of the physicochemical and pasting properties of instant corn flour added with calcium and fibers from nopal powder","Cornejo-Villegas, M. A.; Acosta-Osorio, A. A.; Rojas-Molina, I.; Gutierrez-Cortez, E.; Quiroga, M. A.; Gaytan, M.; Herrera, G.; Rodriguez-Garcia, M. E.","","","","JOURNAL OF FOOD ENGINEERING","FEB 2010","2010","96","3","","","","401","409","","10.1016/j.jfoodeng.2009.08.014","","","39","2.79","0","0","2","3","3","5","3","2","4","2","6","6","2","1"
"Microstructural changes in the maize kernel pericarp during cooking stage in nixtamalization process","Gutierrez-Cortez, E.; Rojas-Molina, I.; Rojas, A.; Arjona, J. L.; Cornejo-Villegas, M. A.; Zepeda-Benitez, Y.; Velazquez-Hernandez, R.; Ibarra-Alvarado, C.; Rodriguez-Garcia, M. E.","","","","JOURNAL OF CEREAL SCIENCE","JAN 2010","2010","51","1","","","","81","88","","10.1016/j.jcs.2009.09.008","","","37","2.64","0","0","2","5","1","5","4","3","3","5","3","1","5","0"
"Constant pressure filtration of lime water (nejayote) used to cook kernels in maize processing","Valderrama-Bravo, C.; Gutierrez-Cortez, E.; Contreras-Padilla, M.; Rojas-Molina, I.; Mosquera, J. C.; Rojas-Molina, A.; Beristain, F.; Rodriguez-Garcia, M. E.","","","","JOURNAL OF FOOD ENGINEERING","JUN 2012","2012","110","3","","","","478","486","","10.1016/j.jfoodeng.2011.12.018","","","36","3.00","0","0","0","1","0","5","2","3","5","6","8","2","4","0"
"Enhanced Production of Menaquinone 7 via Solid Substrate Fermentation from Bacillus subtilis","Mahanama, Raja; Berenjian, Aydin; Valtchev, Peter; Talbot, Andrea; Biffin, Ray; Regtop, Hub; Dehghani, Fariba; Kavanagh, John M.","","","","INTERNATIONAL JOURNAL OF FOOD ENGINEERING","2011","2011","7","5","","","","","","17","10.2202/1556-3758.2314","","","36","2.77","0","1","1","1","2","2","3","3","0","5","10","3","5","0"
"Effect of the alkaline and acid treatments on the physicochemical properties of corn starch","Palacios-Fonseca, A. J.; Castro-Rosas, J.; Gomez-Aldapa, C. A.; Tovar-Benitez, T.; Millan-Malo, B. M.; del Real, A.; Rodriguez-Garcia, M. E.","","","","CYTA-JOURNAL OF FOOD","MAY 1 2013","2013","11","","","1","SI","67","74","","10.1080/19476337.2012.761651","","","35","3.18","0","0","0","0","0","2","4","0","2","4","4","10","7","2"
"Antioxidant Capacity and Antimutagenic Activity of Anthocyanin and Carotenoid Extracts from Nixtamalized Pigmented Creole Maize Races (Zea mays L.)","Mendoza-Diaz, Sandra; del Carmen Ortiz-Valerio, Ma; Castano-Tostado, Eduardo; de Dios Figueroa-Cardenas, Juan; Reynoso-Camacho, Rosalia; Ramos-Gomez, Minerva; Campos-Vega, Rocio; Loarca-Pina, Guadalupe","","","","PLANT FOODS FOR HUMAN NUTRITION","DEC 2012","2012","67","4","","","","442","449","","10.1007/s11130-012-0326-9","","","35","2.92","0","0","0","2","3","2","8","4","3","3","3","4","3","0"
"Physical and chemical changes undergone by pericarp and endosperm during corn nixtamalization-A review","Santiago-Ramos, David; de Dios Figueroa-Cardenas, Juan; Maria Mariscal-Moreno, Rosa; Escalante-Aburto, Anayansi; Ponce-Garcia, Nestor; Juan Veles-Medina, Jose","","","","JOURNAL OF CEREAL SCIENCE","MAY 2018","2018","81","","","","","108","117","","10.1016/j.jcs.2018.04.003","","","34","5.67","0","0","0","0","0","0","0","0","2","9","7","8","8","0"
"Influence of Genetic Background on Anthocyanin and Copigment Composition and Behavior during Thermoalkaline Processing of Maize","Collison, Amy; Yang, Liyi; Dykes, Linda; Murray, Seth; Awika, Joseph M.","","","","JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY","JUN 10 2015","2015","63","22","","","","5528","5538","","10.1021/acs.jafc.5b00798","","","33","3.67","0","0","0","0","0","1","5","4","7","5","6","3","2","0"
"Effect of the Nixtamalization Process on the Dietary Fiber Content, Starch Digestibility, and Antioxidant Capacity of Blue Maize Tortilla","Bello-Perez, Luis A.; Flores-Silva, Pamela C.; Camelo-Mendez, Gustavo A.; Paredes-Lopez, Octavio; de Dios Figueroa-Cardenas, Juan","","","","CEREAL CHEMISTRY","MAY-JUN 2015","2015","92","3","","","","265","270","","10.1094/CCHEM-06-14-0139-R","","","32","3.56","0","0","0","0","0","1","3","3","6","2","7","5","5","0"
"Effect of added calcium hydroxide during corn nixtamalization on acrylamide content in tortilla chips","Salazar, R.; Arambula-Villa, G.; Luna-Barcenas, G.; Figueroa-Cardenas, J. D.; Azuara, E.; Vazquez-Landaverde, P. A.","","","","LWT-FOOD SCIENCE AND TECHNOLOGY","APR 2014","2014","56","1","","","","87","92","","10.1016/j.lwt.2013.10.046","","","32","3.20","0","0","0","0","1","1","4","2","5","6","8","0","3","2"
"Effect of alkaline cooking of maize on the content of fumonisins B-1 and B-2 and their hydrolysed forms","De Girolamo, A.; Lattanzio, V. M. T.; Schena, R.; Visconti, A.; Pascale, M.","","","","FOOD CHEMISTRY","FEB 1 2016","2016","192","","","","","1083","1089","","10.1016/j.foodchem.2015.07.059","","","31","3.88","0","0","0","0","0","1","0","4","5","2","4","10","4","1"
"IMPROVING TEXTURAL CHARACTERISTICS OF TORTILLAS BY ADDING GUMS DURING EXTRUSION TO OBTAIN NIXTAMALIZED CORN FLOUR","Platt-Lucero, L. C.; Ramirez-Wong, B.; Torres-Chavez, P. I.; Lopez-Cervantes, J.; Sanchez-Machado, D. I.; Reyes-Moreno, C.; Milan-Carrillo, J.; Morales-Rosas, I.","","","","JOURNAL OF TEXTURE STUDIES","OCT 2010","2010","41","5","","","","736","755","","10.1111/j.1745-4603.2010.00252.x","","","31","2.21","0","0","0","3","0","2","3","5","3","2","8","1","4","0"
"Bioaccessibility and antioxidant activity of free phenolic compounds and oligosaccharides from corn (Zea mays L.) and common bean (Phaseolus vulgaris L.) chips during in vitro gastrointestinal digestion and simulated colonic fermentation","Luzardo-Ocampo, I.; Campos-Vega, R.; Gaytan-Martinez, M.; Preciado-Ortiz, R.; Mendoza, S.; Loarca-Pina, G.","","","","FOOD RESEARCH INTERNATIONAL","OCT 2017","2017","100","","1","","","304","311","","10.1016/j.foodres.2017.07.018","","","30","4.29","0","0","0","0","0","0","0","1","4","7","9","6","2","1"
"Rheological and thermal properties of dough and textural and microstructural features of bread obtained from nixtamalized corn/wheat flour blends","Guadarrama-Lezama, A. Y.; Carrillo-Navas, H.; Vernon-Carter, E. J.; Alvarez-Ramirez, J.","","","","JOURNAL OF CEREAL SCIENCE","MAY 2016","2016","69","","","","","158","165","","10.1016/j.jcs.2016.03.011","","","30","3.75","0","0","0","0","0","0","0","3","3","8","7","4","5","0"
"Whole-grain corn tortilla prepared using an ecological nixtamalisation process and its impact on the nutritional value","Cecilia Maya-Cortes, Diana; Figueroa Cardenas, Juan de Dios; Guadalupe Garnica-Romo, Ma.; Alfaro Cuevas-Villanueva, Ruth; Cortes-Martinez, Raul; Juan Veles-Medina, Jose; Eduardo Martinez-Flores, Hector","","","","INTERNATIONAL JOURNAL OF FOOD SCIENCE AND TECHNOLOGY","JAN 2010","2010","45","1","","","","23","28","","10.1111/j.1365-2621.2009.02095.x","","","29","2.07","1","1","3","2","5","4","3","3","1","3","2","0","1","0"
"Mycotoxins during the Processes of Nixtamalization and Tortilla Production","Schaarschmidt, Sara; Fauhl-Hassek, Carsten","","","","TOXINS","APR 2019","2019","11","4","","","","","","227","10.3390/toxins11040227","","","28","5.60","0","0","0","0","0","0","0","0","0","2","9","9","8","0"
"Study of the morphological, structural, thermal, and pasting corn transformation during the traditional nixtamalization process: From corn to tortilla","Villada, J. A.; Sanchez-Sinencio, F.; Zelaya-Angel, A.; Gutierrez-Cortez, E.; Rodriguez-Garcia, M. E.","","","","JOURNAL OF FOOD ENGINEERING","NOV 2017","2017","212","","","","","242","251","","10.1016/j.jfoodeng.2017.05.034","","","28","4.00","0","0","0","0","0","0","0","0","5","6","8","5","4","0"
"Effect of traditional nixtamalization on anthocyanin content and profile in Mexican blue maize (Zea mays L.) landraces","Mora-Rochin, Saraid; Gaxiola-Cuevas, Nalleli; Alejandra Gutierrez-Uribe, Janet; Milan-Carrillo, Jorge; Maria Milan-Noris, Evelia; Reyes-Moreno, Cuauhtemoc; Othon Serna-Saldivar, Sergio; Oliva Cuevas-Rodriguez, Edith","","","","LWT-FOOD SCIENCE AND TECHNOLOGY","MAY 2016","2016","68","","","","","563","569","","10.1016/j.lwt.2016.01.009","","","28","3.50","0","0","0","0","0","0","0","2","5","10","4","5","2","0"
"NIXTAMALIZATION IN TWO STEPS WITH DIFFERENT CALCIUM SALTS AND THE RELATIONSHIP WITH CHEMICAL, TEXTURE AND THERMAL PROPERTIES IN MASA AND TORTILLA","Ruiz-Gutierrez, M. G.; Quintero-Ramos, A.; Melendez-Pizarro, C. O.; Talamas-Abbud, R.; Barnard, J.; Marquez-Melendez, R.; Lardizabal-Gutierrez, D.","","","","JOURNAL OF FOOD PROCESS ENGINEERING","OCT 2012","2012","35","5","","","","772","783","","10.1111/j.1745-4530.2010.00627.x","","","28","2.33","0","0","0","0","3","3","3","2","0","3","10","1","3","0"
"Changes in the thermal and structural properties of maize starch during nixtamalization and tortilla-making processes as affected by grain hardness","Santiago-Ramos, David; de Dios Figueroa-Cardenas, Juan; Juan Veles-Medina, Jose; Maria Mariscal-Moreno, Rosa","","","","JOURNAL OF CEREAL SCIENCE","MAR 2017","2017","74","","","","","72","78","","10.1016/j.jcs.2017.01.018","","","27","3.86","0","0","0","0","0","0","0","1","4","8","3","5","5","1"
"High oil content maize: Physical, thermal and rheological properties of grain, masa, and tortillas","Gricelda Vazquez-Carrillo, Maria; Santiago-Ramos, David; Gaytan-Martinez, Marcela; Morales-Sanchez, Eduardo; de Jesus Guerrero-Herrera, Manuel","","","","LWT-FOOD SCIENCE AND TECHNOLOGY","JAN 2015","2015","60","1","","","","156","161","","10.1016/j.lwt.2014.07.043","","","27","3.00","0","0","0","0","0","2","3","1","5","4","4","4","4","0"
"Application of wounding stress to produce a nutraceutical-rich carrot powder ingredient and its incorporation to nixtamalized corn flour tortillas","Santana-Galvez, Jesus; Perez-Carrillo, Esther; Velazquez-Reyes, Hector H.; Cisneros-Zevallos, Luis; Jacobo-Velazquez, Daniel A.","","","","JOURNAL OF FUNCTIONAL FOODS","DEC 2016","2016","27","","","","","655","666","","10.1016/j.jff.2016.10.020","","","26","3.25","0","0","0","0","0","0","0","1","4","5","8","6","2","0"
"Effect of the nixtamalization with calcium carbonate on the indigestible carbohydrate content and starch digestibility of corn tortilla","Bello-Perez, Luis A.; Flores-Silva, Pamela C.; Agama-Acevedo, Edith; de Dios Figueroa-Cardenas, Juan; Lopez-Valenzuela, Jose A.; Campanella, Osvaldo H.","","","","JOURNAL OF CEREAL SCIENCE","SEP 2014","2014","60","2","","","","421","425","","10.1016/j.jcs.2014.05.001","","","26","2.60","0","0","0","0","0","4","2","2","3","6","7","1","1","0"
"Mechanism of calcium uptake in corn kernels during the traditional nixtamalization process: Diffusion, accumulation and percolation","Valderrama-Bravo, C.; Rojas-Molina, A.; Gutierrez-Cortez, E.; Rojas-Molina, I.; Oaxaca-Luna, A.; De la Rosa-Rincon, E.; Rodriguez-Garcia, M. E.","","","","JOURNAL OF FOOD ENGINEERING","MAY 2010","2010","98","1","","","","126","132","","10.1016/j.jfoodeng.2009.12.018","","","26","1.86","0","1","2","1","1","1","2","4","2","2","2","5","3","0"
"Effect of Traditional and Extrusion Nixtamalization on Carotenoid Retention in Tortillas Made from Provitamin A Biofortified Maize (Zea mays L.)","Rosales, Aldo; Agama-Acevedo, Edith; Arturo Bello-Perez, Luis; Gutierrez-Dorado, Roberto; Palacios-Rojas, Natalia","","","","JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY","NOV 9 2016","2016","64","44","","","","8289","8295","","10.1021/acs.jafc.6b02951","","","25","3.13","0","0","0","0","0","0","0","2","6","0","6","8","3","0"
"Resistant Starch Formation in Tortillas from an Ecological Nixtamalization Process","Santiago-Ramos, David; de Dios Figueroa-Cardenas, Juan; Juan Veles-Medina, Jose; Maria Mariscal-Moreno, Rosa; Reynoso-Camacho, Rosalia; Ramos-Gomez, Minerva; Gaytan-Martinez, Marcela; Morales-Sanchez, Eduardo","","","","CEREAL CHEMISTRY","MAR-APR 2015","2015","92","2","","","","185","192","","10.1094/CCHEM-08-14-0170-R","","","25","2.78","0","0","0","0","0","2","2","3","4","3","7","3","1","0"
"Effect of extrusion processing parameters on anthocyanin content and physicochemical properties of nixtamalized blue corn expanded extrudates","Escalante-Aburto, A.; Ramirez-Wong, B.; Torres-Chavez, P. I.; Figueroa-Cardenas, J. D.; Lopez-Cervantes, J.; Barron-Hoyos, J. M.; Morales-Rosas, I.","","","","CYTA-JOURNAL OF FOOD","MAY 1 2013","2013","11","","","1","SI","29","37","","10.1080/19476337.2013.764929","","","25","2.27","0","0","0","1","2","2","2","3","1","0","5","7","2","0"
"Gels of ferulated arabinoxylans extracted from nixtamalized and non-nixtamalized maize bran: rheological and structural characteristics","Martinez-Lopez, A. L.; Carvajal-Millan, E.; Rascon-Chu, A.; Marquez-Escalante, J.; Martinez-Robinson, K.","","","","CYTA-JOURNAL OF FOOD","MAY 1 2013","2013","11","","","1","SI","22","28","","10.1080/19476337.2013.781679","","","25","2.27","0","0","0","1","1","1","2","1","6","5","4","3","1","0"
"Rheological and thermal properties of masa as related to changes in corn protein during nixtamalization","Quintanar Guzman, Adriana; Jaramillo Flores, Maria Eugenia; Solorza Feria, Javier; Mendez Montealvo, Maria Guadalupe; Wang, Ya-Jane","","","","JOURNAL OF CEREAL SCIENCE","JAN 2011","2011","53","1","","","","139","147","","10.1016/j.jcs.2010.11.005","","","25","1.92","0","0","0","1","4","1","1","4","1","5","4","2","2","0"
"Effect of Lime and Wood Ash on the Nixtamalization of Maize and Tortilla Chemical and Nutritional Characteristics","Renee Pappa, Maria; Palacios de Palomo, Patricia; Bressani, Ricardo","","","","PLANT FOODS FOR HUMAN NUTRITION","JUN 2010","2010","65","2","","","","130","135","","10.1007/s11130-010-0162-8","","","25","1.79","0","0","1","4","2","6","0","1","2","3","1","1","4","0"
"Reduction of Fumonisin Toxicity by Extrusion and Nixtamalization (Alkaline Cooking)","Voss, Kenneth; Ryu, Dojin; Jackson, Lauren; Riley, Ronald; Gelineau-van Waes, Janee","","","","JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY","AUG 23 2017","2017","65","33","","","","7088","7096","","10.1021/acs.jafc.6b05761","","","24","3.43","0","0","0","0","0","0","0","0","6","4","3","4","6","1"
"An Update of Different Nixtamalization Technologies, and Its Effects on Chemical Composition and Nutritional Value of Corn Tortillas","Escalante-Aburto, Anayansi; Maria Mariscal-Moreno, Rosa; Santiago-Ramos, David; Ponce-Garcia, Nestor","","","","FOOD REVIEWS INTERNATIONAL","JUL 3 2020","2020","36","5","","","","456","498","","10.1080/87559129.2019.1649693","","","23","4.60","0","0","0","0","0","0","0","0","0","1","5","8","9","0"
"Retention of Carotenoids in Biofortified Maize Flour and beta-Cryptoxanthin-Enhanced Eggs after Household Cooking","Sowa, Margaret; Yu, Jiaoying; Palacios-Rojas, Natalia; Goltz, Shellen R.; Howe, Julie A.; Davis, Christopher R.; Rocheford, Torbert; Tanumihardjo, Sherry A.","","","","ACS OMEGA","OCT 2017","2017","2","10","","","","7320","7328","","10.1021/acsomega.7b01202","","","23","3.29","0","0","0","0","0","0","0","0","5","5","4","7","2","0"
"Effects of CaCO3 treatment on the morphology, crystallinity, rheology and hydrolysis of gelatinized maize starch dispersions","Garcia-Diaz, S.; Hernandez-Jaimes, C.; Escalona-Buendia, H. B.; Bello-Perez, L. A.; Vernon-Carter, E. J.; Alvarez-Ramirez, J.","","","","FOOD CHEMISTRY","SEP 15 2016","2016","207","","","","","139","147","","10.1016/j.foodchem.2016.03.095","","","23","2.88","0","0","0","0","0","0","0","1","6","6","0","4","5","1"
"Chemopreventive Effects of Free and Bound Phenolics Associated to Steep Waters (Nejayote) Obtained After Nixtamalization of Different Maize Types","Rojas-Garcia, Carlos; Garcia-Lara, Silverio; Serna-Saldivar, Sergio O.; Gutierrez-Uribe, Janet A.","","","","PLANT FOODS FOR HUMAN NUTRITION","MAR 2012","2012","67","1","","","","94","99","","10.1007/s11130-011-0272-y","","","23","1.92","0","0","0","0","4","5","0","0","1","6","5","2","0","0"
"The effect of Ca2+ ions on the pasting, morphological, structural, vibrational, and mechanical properties of corn starch-water system","de los Angeles Cornejo-Villegas, Maria; Rincon-Londono, Natalia; Del Real-Lopez, Alicia; Rodriguez-Garcia, Mario E.","","","","JOURNAL OF CEREAL SCIENCE","JAN 2018","2018","79","","","","","174","182","","10.1016/j.jcs.2017.10.003","","","22","3.67","0","0","0","0","0","0","0","0","3","3","4","8","4","0"
"Carotenoid composition and antioxidant activity of tortillas elaborated from pigmented maize landrace by traditional nixtamalization or lime cooking extrusion process","Belinda Corrales-Banuelos, Ana; Oliva Cuevas-Rodriguez, Edith; Alejandra Gutierrez-Uribe, Janet; Maria Milan-Noris, Evelia; Reyes-Moreno, Cuauhtemoc; Milan-Carrillo, Jorge; Mora-Rochin, Saraid","","","","JOURNAL OF CEREAL SCIENCE","MAY 2016","2016","69","","","","","64","70","","10.1016/j.jcs.2016.02.009","","","22","2.75","0","0","0","0","0","0","1","1","4","4","5","4","3","0"
"Effect of lime concentration on gelatinized maize starch dispersions properties","Lobato-Calleros, C.; Hernandez-Jaimes, C.; Chavez-Esquivel, G.; Meraz, M.; Sosa, E.; Lara, V. H.; Alvarez-Ramirez, J.; Vernon-Carter, E. J.","","","","FOOD CHEMISTRY","APR 1 2015","2015","172","","","","","353","360","","10.1016/j.foodchem.2014.09.087","","","22","2.44","0","0","0","0","0","1","1","4","5","2","3","4","2","0"
"Changes in mass transfer, thermal and physicochemical properties during nixtamalization of corn with and without agitation at different temperatures","Ruiz-Gutierrez, M. G.; Quintero-Ramos, A.; Melendez-Pizarro, C. O.; Lardizabal-Gutierrez, D.; Barnard, J.; Marquez-Melendez, R.; Talamas-Abbud, R.","","","","JOURNAL OF FOOD ENGINEERING","MAY 2010","2010","98","1","","","","76","83","","10.1016/j.jfoodeng.2009.12.010","","","22","1.57","0","0","2","2","3","5","3","1","1","2","3","0","0","0"
